ticket_id,account_id,submitted_at,closed_at,resolution_time_hours,priority,first_response_time_minutes,satisfaction_score,escalation_flag
T-0024de,A-712f1c,7/27/2023,7/28/2023 3:00,27,high,74,,FALSE
T-4d04b9,A-e43bf7,7/8/2024,7/9/2024 3:00,27,urgent,144,,FALSE
T-d5e12f,A-0f3e88,10/17/2024,10/17/2024 19:00,19,urgent,93,4,FALSE
T-dfce9a,A-4c56c9,9/8/2024,9/9/2024 23:00,47,medium,126,5,FALSE
T-c59f77,A-6f8ad2,11/30/2024,12/1/2024 2:00,26,medium,8,,FALSE
T-90f06d,A-94c3cd,7/27/2023,7/27/2023 9:00,9,medium,60,,FALSE
T-30b537,A-2e4581,9/9/2023,9/10/2023 3:00,27,urgent,64,3,FALSE
T-60242d,A-72799b,1/29/2024,1/29/2024 12:00,12,low,56,4,TRUE
T-7119c9,A-b179bf,8/27/2023,8/27/2023 16:00,16,urgent,154,,FALSE
T-b0edf2,A-7cfe77,5/6/2024,5/7/2024 4:00,28,medium,150,3,FALSE
T-98a84a,A-157070,12/20/2023,12/21/2023 18:00,42,low,26,,FALSE
T-04457d,A-854864,7/18/2024,7/20/2024 0:00,48,medium,140,5,FALSE
T-6bd715,A-4e0e85,5/14/2024,5/16/2024 2:00,50,medium,129,,FALSE
T-13f1b8,A-5b4ebb,12/5/2023,12/6/2023 2:00,26,low,121,5,FALSE
T-a3288b,A-098560,12/28/2024,12/30/2024 7:00,55,low,26,3,FALSE
T-f8e2c3,A-40a557,3/1/2024,3/3/2024 21:00,69,high,60,,FALSE
T-4e7816,A-05f0e5,10/3/2024,10/4/2024 12:00,36,low,108,,FALSE
T-0dea8b,A-671f31,1/24/2024,1/26/2024 12:00,60,medium,45,3,FALSE
T-ca96ba,A-410e86,4/28/2024,4/28/2024 3:00,3,high,64,,FALSE
T-ac0b69,A-ac9111,3/2/2024,3/2/2024 14:00,14,low,86,,FALSE
T-0f1c67,A-78f02b,10/9/2024,10/11/2024 0:00,48,low,51,4,FALSE
T-4fb3f2,A-c62e55,3/5/2023,3/7/2023 11:00,59,medium,136,3,FALSE
T-2b4423,A-158f4e,12/7/2023,12/7/2023 11:00,11,high,99,,FALSE
T-b17401,A-50bb9f,2/21/2024,2/21/2024 12:00,12,high,171,3,FALSE
T-462ece,A-b9f5b1,7/17/2023,7/19/2023 3:00,51,low,50,3,TRUE
T-066714,A-b2225d,4/11/2024,4/12/2024 0:00,24,high,52,3,FALSE
T-8c694d,A-883b7d,5/24/2024,5/24/2024 15:00,15,low,39,3,TRUE
T-804c6c,A-751bd4,10/29/2024,10/30/2024 4:00,28,medium,49,4,FALSE
T-64b0b8,A-533452,9/27/2023,9/29/2023 8:00,56,low,16,5,FALSE
T-bfa749,A-684255,8/4/2023,8/4/2023 1:00,1,low,137,5,FALSE
T-3b24c1,A-0aaf6e,6/9/2024,6/11/2024 6:00,54,high,151,3,FALSE
T-68c8a6,A-7c4956,9/23/2024,9/23/2024 19:00,19,high,34,,FALSE
T-bbe374,A-3ce5b8,1/15/2024,1/17/2024 2:00,50,low,155,,FALSE
T-bccf63,A-82d8a6,11/29/2024,12/1/2024 22:00,70,high,67,3,FALSE
T-98448a,A-462d45,2/10/2024,2/10/2024 18:00,18,high,99,4,FALSE
T-f68dde,A-118d55,9/8/2024,9/8/2024 14:00,14,medium,1,4,FALSE
T-5f84c5,A-1f559b,1/22/2024,1/24/2024 14:00,62,high,28,4,FALSE
T-9bae5a,A-7cfe77,4/14/2024,4/14/2024 23:00,23,urgent,176,5,FALSE
T-22842d,A-533452,8/5/2024,8/5/2024 8:00,8,high,66,3,FALSE
T-f8b58d,A-ee42db,1/16/2023,1/18/2023 9:00,57,urgent,144,,FALSE
T-3a2a66,A-e98302,9/15/2023,9/17/2023 18:00,66,low,150,,FALSE
T-490c4a,A-503d5a,8/8/2023,8/8/2023 9:00,9,urgent,179,,FALSE
